week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
1,Fri,1991-08-02,,Bochum,2–2,Köln,,,Bernd Heynemann,/en/matches/f088fcd4/Bochum-Koln-August-2-1991-Bundesliga,,f088fcd4
1,Fri,1991-08-02,,Leverkusen,1–0,M'Gladbach,,,Hans Scheuerer,/en/matches/769e15ef/Bayer-Leverkusen-Monchengladbach-August-2-1991-Bundesliga,,769e15ef
1,Fri,1991-08-02,,MSV Duisburg,1–0,Stuttgart,,,Wolf-Günter Wiesel,/en/matches/c574424c/MSV-Duisburg-Stuttgart-August-2-1991-Bundesliga,,c574424c
1,Sat,1991-08-03,,Dresden,0–1,Kaiserslautern,,,Michael Prengel,/en/matches/a2b05756/Dresden-Kaiserslautern-August-3-1991-Bundesliga,,a2b05756
1,Sat,1991-08-03,,Düsseldorf,1–2,Eint Frankfurt,,,Werner Föckler,/en/matches/c63fb69b/Dusseldorf-Eintracht-Frankfurt-August-3-1991-Bundesliga,,c63fb69b
1,Sat,1991-08-03,,Hansa Rostock,4–0,Nürnberg,,,Michael Malbranc,/en/matches/04a40662/Hansa-Rostock-Nurnberg-August-3-1991-Bundesliga,,04a40662
1,Sat,1991-08-03,,Karlsruher,2–2,Dortmund,,,Manfred Harder,/en/matches/630c6edb/Karlsruher-Dortmund-August-3-1991-Bundesliga,,630c6edb
1,Sat,1991-08-03,,S'gart Kickers,3–0,Wattenscheid,,,Wieland Ziller,/en/matches/205b0aec/Stuttgarter-Kickers-Wattenscheid-August-3-1991-Bundesliga,,205b0aec
1,Sat,1991-08-03,,Schalke 04,0–0,Hamburger SV,,,Gerhard Theobald,/en/matches/b0d1f480/Schalke-04-Hamburger-SV-August-3-1991-Bundesliga,,b0d1f480
1,Sat,1991-08-03,,Werder Bremen,1–1,Bayern Munich,,,Hans-Jürgen Weber,/en/matches/7a0ea2b2/Werder-Bremen-Bayern-Munich-August-3-1991-Bundesliga,,7a0ea2b2
2,Fri,1991-08-09,,Hamburger SV,2–0,Dresden,,,Hermann Albrecht,/en/matches/79e88460/Hamburger-SV-Dresden-August-9-1991-Bundesliga,,79e88460
2,Fri,1991-08-09,,M'Gladbach,0–0,MSV Duisburg,,,Manfred Amerell,/en/matches/8e73abd4/Monchengladbach-MSV-Duisburg-August-9-1991-Bundesliga,,8e73abd4
2,Fri,1991-08-09,,Wattenscheid,3–0,Leverkusen,,,Aron Schmidhuber,/en/matches/a7d2e90c/Wattenscheid-Bayer-Leverkusen-August-9-1991-Bundesliga,,a7d2e90c
2,Sat,1991-08-10,,Bayern Munich,1–2,Hansa Rostock,,,Lothar Löwer,/en/matches/e06487d4/Bayern-Munich-Hansa-Rostock-August-10-1991-Bundesliga,,e06487d4
2,Sat,1991-08-10,,Dortmund,2–1,Werder Bremen,,,Hans Fux,/en/matches/b32166f2/Dortmund-Werder-Bremen-August-10-1991-Bundesliga,,b32166f2
2,Sat,1991-08-10,,Eint Frankfurt,5–0,Schalke 04,,,Hans-Joachim Osmers,/en/matches/66a642b8/Eintracht-Frankfurt-Schalke-04-August-10-1991-Bundesliga,,66a642b8
2,Sat,1991-08-10,,Kaiserslautern,1–1,Bochum,,,Eugen Strigel,/en/matches/534c5e42/Kaiserslautern-Bochum-August-10-1991-Bundesliga,,534c5e42
2,Sat,1991-08-10,,Köln,0–0,S'gart Kickers,,,Klaus-Dieter Stenzel,/en/matches/cc3831c5/Koln-Stuttgarter-Kickers-August-10-1991-Bundesliga,,cc3831c5
2,Sat,1991-08-10,,Nürnberg,3–1,Düsseldorf,,,Karl-Heinz Gläser,/en/matches/4c4b9bac/Nurnberg-Dusseldorf-August-10-1991-Bundesliga,,4c4b9bac
2,Sat,1991-08-10,,Stuttgart,1–0,Karlsruher,,,Günther Habermann,/en/matches/8bd43652/Stuttgart-Karlsruher-August-10-1991-Bundesliga,,8bd43652
3,Tue,1991-08-13,,Bochum,2–3,Hamburger SV,,,Hans-Peter Best,/en/matches/16734ce1/Bochum-Hamburger-SV-August-13-1991-Bundesliga,,16734ce1
3,Tue,1991-08-13,,Dresden,2–1,Eint Frankfurt,,,Wolf-Günter Wiesel,/en/matches/33a771e4/Dresden-Eintracht-Frankfurt-August-13-1991-Bundesliga,,33a771e4
3,Tue,1991-08-13,,Karlsruher,2–0,M'Gladbach,,,Gerhard Theobald,/en/matches/0fcdcbb4/Karlsruher-Monchengladbach-August-13-1991-Bundesliga,,0fcdcbb4
3,Tue,1991-08-13,,MSV Duisburg,0–0,Wattenscheid,,,Karl-Josef Assenmacher,/en/matches/400c596b/MSV-Duisburg-Wattenscheid-August-13-1991-Bundesliga,,400c596b
3,Wed,1991-08-14,,Düsseldorf,0–1,Bayern Munich,,,Hans-Joachim Osmers,/en/matches/d1c65857/Dusseldorf-Bayern-Munich-August-14-1991-Bundesliga,,d1c65857
3,Wed,1991-08-14,,Hansa Rostock,5–1,Dortmund,,,Wolfgang Mierswa,/en/matches/d1bee717/Hansa-Rostock-Dortmund-August-14-1991-Bundesliga,,d1bee717
3,Wed,1991-08-14,,Köln,1–1,Kaiserslautern,,,Hermann Albrecht,/en/matches/17f9f133/Koln-Kaiserslautern-August-14-1991-Bundesliga,,17f9f133
3,Wed,1991-08-14,,S'gart Kickers,0–1,Leverkusen,,,Alfons Berg,/en/matches/a0cf211e/Stuttgarter-Kickers-Bayer-Leverkusen-August-14-1991-Bundesliga,,a0cf211e
3,Wed,1991-08-14,,Schalke 04,1–0,Nürnberg,,,Werner Föckler,/en/matches/2a8033a3/Schalke-04-Nurnberg-August-14-1991-Bundesliga,,2a8033a3
