round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,1,Fri,2014-08-22,20:30,Bayern Munich,2–1,Wolfsburg,71000,Allianz Arena,Felix Zwayer,/en/matches/c0290c43/Bayern-Munich-Wolfsburg-August-22-2014-Bundesliga,,c0290c43
Regular season,1,Sat,2014-08-23,18:30,Dortmund,0–2,Leverkusen,80667,Signal Iduna Park,Deniz Aytekin,/en/matches/3bd7db38/Dortmund-Bayer-Leverkusen-August-23-2014-Bundesliga,,3bd7db38
Regular season,1,Sat,2014-08-23,15:30,Eint Frankfurt,1–0,Freiburg,46200,Commerzbank-Arena,Florian Meyer,/en/matches/be4e3523/Eintracht-Frankfurt-Freiburg-August-23-2014-Bundesliga,,be4e3523
Regular season,1,Sat,2014-08-23,15:30,Hannover 96,2–1,Schalke 04,49000,HDI-Arena,Peter Gagelmann,/en/matches/a9421307/Hannover-96-Schalke-04-August-23-2014-Bundesliga,,a9421307
Regular season,1,Sat,2014-08-23,15:30,Hertha BSC,2–2,Werder Bremen,56972,Olympiastadion Berlin,Thorsten Kinhöfer,/en/matches/f946b4cd/Hertha-BSC-Werder-Bremen-August-23-2014-Bundesliga,,f946b4cd
Regular season,1,Sat,2014-08-23,15:30,Hoffenheim,2–0,Augsburg,23792,PreZero Arena,Tobias Stieler,/en/matches/42b9d800/Hoffenheim-Augsburg-August-23-2014-Bundesliga,,42b9d800
Regular season,1,Sat,2014-08-23,15:30,Köln,0–0,Hamburger SV,50000,RheinEnergieSTADION,Wolfgang Stark,/en/matches/bdc20bfa/Koln-Hamburger-SV-August-23-2014-Bundesliga,,bdc20bfa
Regular season,1,Sun,2014-08-24,17:30,M'Gladbach,1–1,Stuttgart,50203,Stadion im Borussia-Park,Christian Dingert,/en/matches/6fba877b/Monchengladbach-Stuttgart-August-24-2014-Bundesliga,,6fba877b
Regular season,1,Sun,2014-08-24,15:30,Paderborn 07,2–2,Mainz 05,14824,Benteler-Arena,Peter Sippel,/en/matches/3f68b9e1/Paderborn-07-Mainz-05-August-24-2014-Bundesliga,,3f68b9e1
Regular season,2,Fri,2014-08-29,20:30,Augsburg,2–3,Dortmund,30660,WWK Arena,Knut Kircher,/en/matches/5587f162/Augsburg-Dortmund-August-29-2014-Bundesliga,,5587f162
Regular season,2,Sat,2014-08-30,15:30,Hamburger SV,0–3,Paderborn 07,54452,Volksparkstadion,Bastian Dankert,/en/matches/595bc808/Hamburger-SV-Paderborn-07-August-30-2014-Bundesliga,,595bc808
Regular season,2,Sat,2014-08-30,15:30,Leverkusen,4–2,Hertha BSC,27819,BayArena,Tobias Stieler,/en/matches/f4e0602c/Bayer-Leverkusen-Hertha-BSC-August-30-2014-Bundesliga,,f4e0602c
Regular season,2,Sat,2014-08-30,18:30,Schalke 04,1–1,Bayern Munich,61973,Veltins-Arena,Marco Fritz,/en/matches/1e091671/Schalke-04-Bayern-Munich-August-30-2014-Bundesliga,,1e091671
Regular season,2,Sat,2014-08-30,15:30,Stuttgart,0–2,Köln,55000,Mercedes-Benz Arena,Felix Brych,/en/matches/e681a5d9/Stuttgart-Koln-August-30-2014-Bundesliga,,e681a5d9
Regular season,2,Sat,2014-08-30,15:30,Werder Bremen,1–1,Hoffenheim,38900,Weserstadion,Robert Hartmann,/en/matches/fccc6cd0/Werder-Bremen-Hoffenheim-August-30-2014-Bundesliga,,fccc6cd0
Regular season,2,Sat,2014-08-30,15:30,Wolfsburg,2–2,Eint Frankfurt,27528,Volkswagen Arena,Günter Perl,/en/matches/58a9e557/Wolfsburg-Eintracht-Frankfurt-August-30-2014-Bundesliga,,58a9e557
Regular season,2,Sun,2014-08-31,17:30,Freiburg,0–0,M'Gladbach,24000,Schwarzwald-Stadion,Peter Gagelmann,/en/matches/f052f6c1/Freiburg-Monchengladbach-August-31-2014-Bundesliga,,f052f6c1
Regular season,2,Sun,2014-08-31,15:30,Mainz 05,0–0,Hannover 96,27647,Opel Arena,Sascha Stegemann,/en/matches/fe933928/Mainz-05-Hannover-96-August-31-2014-Bundesliga,,fe933928
Regular season,3,Fri,2014-09-12,20:30,Leverkusen,3–3,Werder Bremen,30210,BayArena,Christian Dingert,/en/matches/4774b9f0/Bayer-Leverkusen-Werder-Bremen-September-12-2014-Bundesliga,,4774b9f0
Regular season,3,Sat,2014-09-13,15:30,Bayern Munich,2–0,Stuttgart,71000,Allianz Arena,Thorsten Kinhöfer,/en/matches/00328d7f/Bayern-Munich-Stuttgart-September-13-2014-Bundesliga,,00328d7f
Regular season,3,Sat,2014-09-13,15:30,Dortmund,3–1,Freiburg,80200,Signal Iduna Park,Bastian Dankert,/en/matches/b15231c8/Dortmund-Freiburg-September-13-2014-Bundesliga,,b15231c8
Regular season,3,Sat,2014-09-13,15:30,Hertha BSC,1–3,Mainz 05,42069,Olympiastadion Berlin,Guido Winkmann,/en/matches/7033bb38/Hertha-BSC-Mainz-05-September-13-2014-Bundesliga,,7033bb38
Regular season,3,Sat,2014-09-13,15:30,Hoffenheim,1–1,Wolfsburg,23813,PreZero Arena,Wolfgang Stark,/en/matches/97250ea5/Hoffenheim-Wolfsburg-September-13-2014-Bundesliga,,97250ea5
Regular season,3,Sat,2014-09-13,18:30,M'Gladbach,4–1,Schalke 04,54010,Stadion im Borussia-Park,Felix Brych,/en/matches/2d9df98c/Monchengladbach-Schalke-04-September-13-2014-Bundesliga,,2d9df98c
Regular season,3,Sat,2014-09-13,15:30,Paderborn 07,0–0,Köln,14993,Benteler-Arena,Peter Gagelmann,/en/matches/c6342e0c/Paderborn-07-Koln-September-13-2014-Bundesliga,,c6342e0c
Regular season,3,Sun,2014-09-14,15:30,Eint Frankfurt,0–1,Augsburg,43500,Commerzbank-Arena,Manuel Gräfe,/en/matches/45d10478/Eintracht-Frankfurt-Augsburg-September-14-2014-Bundesliga,,45d10478
Regular season,3,Sun,2014-09-14,17:30,Hannover 96,2–0,Hamburger SV,49000,HDI-Arena,Markus Schmidt,/en/matches/239b5e86/Hannover-96-Hamburger-SV-September-14-2014-Bundesliga,,239b5e86
Regular season,4,Fri,2014-09-19,20:30,Freiburg,2–2,Hertha BSC,23600,Schwarzwald-Stadion,Florian Meyer,/en/matches/5a3cec96/Freiburg-Hertha-BSC-September-19-2014-Bundesliga,,5a3cec96
Regular season,4,Sat,2014-09-20,15:30,Augsburg,4–2,Werder Bremen,29044,WWK Arena,Marco Fritz,/en/matches/e4c87452/Augsburg-Werder-Bremen-September-20-2014-Bundesliga,,e4c87452
Regular season,4,Sat,2014-09-20,15:30,Hamburger SV,0–0,Bayern Munich,57000,Volksparkstadion,Christian Dingert,/en/matches/605dc8b1/Hamburger-SV-Bayern-Munich-September-20-2014-Bundesliga,,605dc8b1
Regular season,4,Sat,2014-09-20,18:30,Mainz 05,2–0,Dortmund,34000,Opel Arena,Günter Perl,/en/matches/5b0d7817/Mainz-05-Dortmund-September-20-2014-Bundesliga,,5b0d7817
Regular season,4,Sat,2014-09-20,15:30,Paderborn 07,2–0,Hannover 96,15000,Benteler-Arena,Knut Kircher,/en/matches/6d1f40ae/Paderborn-07-Hannover-96-September-20-2014-Bundesliga,,6d1f40ae
Regular season,4,Sat,2014-09-20,15:30,Schalke 04,2–2,Eint Frankfurt,61798,Veltins-Arena,Markus Schmidt,/en/matches/51361070/Schalke-04-Eintracht-Frankfurt-September-20-2014-Bundesliga,,51361070
Regular season,4,Sat,2014-09-20,15:30,Stuttgart,0–2,Hoffenheim,44000,Mercedes-Benz Arena,Peter Sippel,/en/matches/30c735bc/Stuttgart-Hoffenheim-September-20-2014-Bundesliga,,30c735bc
Regular season,4,Sun,2014-09-21,17:30,Köln,0–0,M'Gladbach,50000,RheinEnergieSTADION,Felix Zwayer,/en/matches/2878ff2b/Koln-Monchengladbach-September-21-2014-Bundesliga,,2878ff2b
Regular season,4,Sun,2014-09-21,15:30,Wolfsburg,4–1,Leverkusen,27811,Volkswagen Arena,Deniz Aytekin,/en/matches/98cb6cfa/Wolfsburg-Bayer-Leverkusen-September-21-2014-Bundesliga,,98cb6cfa
Regular season,5,Tue,2014-09-23,20:00,Bayern Munich,4–0,Paderborn 07,71000,Allianz Arena,Sascha Stegemann,/en/matches/9d610d75/Bayern-Munich-Paderborn-07-September-23-2014-Bundesliga,,9d610d75
Regular season,5,Tue,2014-09-23,20:00,Eint Frankfurt,2–2,Mainz 05,44100,Commerzbank-Arena,Felix Brych,/en/matches/65bdaf86/Eintracht-Frankfurt-Mainz-05-September-23-2014-Bundesliga,,65bdaf86
Regular season,5,Tue,2014-09-23,20:00,Hoffenheim,3–3,Freiburg,24872,PreZero Arena,Thorsten Kinhöfer,/en/matches/d73e6ee5/Hoffenheim-Freiburg-September-23-2014-Bundesliga,,d73e6ee5
Regular season,5,Tue,2014-09-23,20:00,Werder Bremen,0–3,Schalke 04,40139,Weserstadion,Wolfgang Stark,/en/matches/bd4e1da1/Werder-Bremen-Schalke-04-September-23-2014-Bundesliga,,bd4e1da1
Regular season,5,Wed,2014-09-24,20:00,Dortmund,2–2,Stuttgart,79500,Signal Iduna Park,Manuel Gräfe,/en/matches/7e949356/Dortmund-Stuttgart-September-24-2014-Bundesliga,,7e949356
Regular season,5,Wed,2014-09-24,20:00,Hannover 96,1–0,Köln,39400,HDI-Arena,Tobias Stieler,/en/matches/ecca32f9/Hannover-96-Koln-September-24-2014-Bundesliga,,ecca32f9
Regular season,5,Wed,2014-09-24,20:00,Hertha BSC,1–0,Wolfsburg,35847,Olympiastadion Berlin,Robert Hartmann,/en/matches/07754a28/Hertha-BSC-Wolfsburg-September-24-2014-Bundesliga,,07754a28
Regular season,5,Wed,2014-09-24,20:00,Leverkusen,1–0,Augsburg,23081,BayArena,Guido Winkmann,/en/matches/39b46d25/Bayer-Leverkusen-Augsburg-September-24-2014-Bundesliga,,39b46d25
